#{"t_start": 1768400364.4744728, "env_id": "LunarLander-v3"}
r,l,t
228.498364,438,408.759863
90.686087,833,409.388862
198.221522,458,411.133323
-16.881575,255,411.255341
-87.223111,411,411.453323
166.234291,516,411.844652
196.971223,452,412.128653
-2.045095,224,413.701397
224.348439,468,414.073399
186.297132,441,414.296399
188.006739,464,414.597768
-105.031383,466,414.914768
141.237121,499,416.64617
-101.755385,389,416.87817
214.093116,364,417.100183
244.556697,580,417.45317
200.278728,424,419.226734
202.932777,579,419.624292
193.413349,485,420.031292
236.546129,499,420.395292
184.391268,452,420.733862
133.783837,496,422.528588
194.697205,557,422.891193
154.637149,513,423.272181
-192.25065,555,425.086637
196.809286,555,425.507354
153.125755,579,425.926057
212.491106,525,426.325057
-100.810531,504,428.125483
184.302286,483,428.47747
-76.609299,365,428.6728
186.507357,492,429.1108
-46.076545,692,431.096123
10.372452,1000,431.934499
-39.651321,404,432.145512
-49.307832,471,432.490499
-42.907955,286,434.106996
11.912442,1000,434.910066
174.767367,534,435.324066
167.513169,532,437.161268
174.06761,787,437.842833
169.869375,648,438.357833
-48.338339,553,440.216471
170.018942,580,440.640887
-98.068374,565,441.000887
43.579186,1000,443.664943
-187.728175,973,444.464943
184.507657,472,444.800305
102.363608,732,446.765703
216.937231,746,447.429703
157.888879,616,447.957971
-61.690583,450,449.769213
226.56053,620,450.192213
76.80322,953,451.295655
-70.570668,398,453.006884
186.531945,443,453.29387
199.60797,637,453.678308
-195.10091,840,455.762513
-65.992141,334,455.974515
-89.530482,437,456.225515
216.388908,495,456.612864
221.600318,473,456.905865
152.13352,572,458.8431
221.490674,455,459.1761
247.578533,442,459.4331
177.633241,484,459.745496
-32.96601,383,459.945496
173.110424,437,461.765769
178.669927,464,462.095768
238.631368,467,462.431768
135.776273,785,464.501979
198.092017,461,464.837739
-8.175668,277,464.972739
218.516995,421,465.224751
201.730407,403,465.473739
101.900467,671,467.530874
167.101693,409,467.750571
-196.598676,613,468.131559
209.048055,346,468.300557
-67.259703,382,468.486573
192.410255,450,470.283927
-52.719002,336,470.473927
150.69356,724,471.080259
193.022524,376,471.311259
-84.977508,434,473.082479
164.237144,461,473.349201
223.026355,377,473.569561
-10.685812,335,473.729561
159.301053,515,474.136559
-161.072243,406,475.92878
192.716523,389,476.13878
215.597492,394,476.380793
92.955178,757,476.884021
-150.054748,466,478.78658
212.99492,432,479.063581
231.360406,397,479.317566
157.522483,612,479.861875
244.662144,452,481.642096
211.388271,371,481.843096
249.347752,380,482.067095
212.200125,450,482.380094
-134.349175,447,482.706458
181.130326,642,484.806916
188.466679,453,485.092929
209.627279,420,485.358916
231.828803,488,485.713353
177.259606,571,487.666651
-66.950163,482,487.932651
168.082089,515,488.23467
176.599947,417,488.462651
65.135622,837,490.60583
-89.094557,440,490.86083
-16.765767,286,490.99683
-111.001245,540,491.39583
-84.026641,1000,493.777567
201.773717,346,493.98057
-126.641544,486,494.315569
-165.409904,930,496.68857
73.050461,682,497.255681
148.372635,599,497.728569
-83.566024,454,499.486567
-120.224658,629,499.848569
153.961565,621,500.395585
-13.417665,331,500.567585
165.522144,639,502.562004
216.038717,415,502.810004
241.807572,391,503.037004
201.239469,409,503.261004
-43.698498,266,503.411004
25.039962,1000,505.857859
211.633411,377,506.099859
218.929307,381,506.324859
-79.511041,416,506.596178
244.543463,448,508.434354
238.932141,396,508.679925
-102.067685,453,508.963925
215.557524,386,509.202925
240.473652,377,509.427925
174.900925,564,511.322865
167.658618,573,511.70125
185.611893,424,512.028263
243.204162,365,512.224251
216.125776,626,514.151478
217.430188,401,514.40949
152.179312,575,514.848752
0.002149,303,515.004753
164.544238,544,517.113094
-15.03065,311,517.271094
208.218851,361,517.481094
-66.085888,582,517.820431
