#{"t_start": 1768404118.0527816, "env_id": "LunarLander-v3"}
r,l,t
-116.8685,205,371.934642
-200.488614,415,372.181271
-107.250066,559,372.586269
175.069937,548,373.028525
151.057024,479,374.829657
127.128174,721,375.482035
-63.503615,343,375.703036
192.227782,545,376.115554
136.33494,518,378.076937
-271.749274,462,378.342937
172.000497,483,378.679196
186.443586,526,379.011159
-83.475901,289,379.159174
-121.555003,385,380.903081
-131.829843,326,381.076399
-99.185224,510,381.429399
163.489971,448,381.705399
-66.198645,231,381.813399
-216.979895,650,383.621911
191.16084,495,383.95829
115.764828,526,384.298606
169.663502,563,384.749278
148.761861,563,386.682946
-135.236168,369,386.866627
-74.97577,205,386.953305
181.502736,454,387.258102
53.220399,720,389.233377
-90.051993,287,389.370377
157.863992,414,389.631375
-89.215236,1000,390.460413
173.332353,513,392.348401
121.742926,578,392.816494
-116.037318,654,393.304115
-168.702745,641,395.218973
-120.275524,318,395.387974
-61.237327,228,395.489988
-87.371154,144,395.549973
168.249626,499,395.910973
67.104979,651,396.333015
175.244285,366,397.998395
-83.223331,259,398.132394
-156.330705,435,398.366394
143.072666,611,398.803394
76.330724,721,400.89095
-62.988093,277,401.025573
163.74598,514,401.400573
-114.175896,432,401.690573
133.239421,452,401.955924
-86.861514,555,403.810386
176.522016,541,404.229026
-38.354675,507,404.516762
-71.299982,278,404.648775
157.691558,479,406.401524
89.182016,441,406.661167
138.726011,517,406.986448
-163.839365,635,407.378188
-76.175641,188,407.460188
112.914503,520,409.159509
107.458647,472,409.442509
-67.534954,163,409.509509
89.925451,633,410.048954
-151.456947,978,412.170865
-61.566749,201,412.263375
160.205352,664,412.783373
-84.802851,185,412.859375
181.902687,470,414.639544
-128.322702,423,414.852545
186.071875,482,415.233946
184.532092,549,415.628946
140.750254,580,417.571384
-86.447351,163,417.636385
176.02156,540,418.110727
-97.974445,276,418.247728
145.737447,355,418.459728
156.87108,507,418.885728
163.128178,689,420.989446
-113.949216,326,421.157465
-114.622444,258,421.278446
172.809416,454,421.569446
97.308086,727,423.574708
168.826623,450,423.895708
-69.733902,204,423.987287
-79.63041,482,424.335287
171.25688,502,424.756286
164.764221,580,426.571486
-75.38098,185,426.651485
173.123095,561,427.110119
-75.595307,180,427.186119
-76.87557,211,427.276119
192.71385,476,429.18731
-110.817276,448,429.431297
182.0845,524,429.764309
-108.541075,411,430.026665
152.83088,451,430.275677
-100.976536,142,430.335666
-108.562208,555,432.134082
-80.181501,219,432.236082
209.852501,542,432.659082
151.627141,507,433.091566
149.688146,454,434.958264
-94.677355,201,435.044933
126.239995,441,435.321937
132.418779,463,435.584941
185.449064,458,435.880935
-76.126534,265,436.005353
202.789461,471,437.939094
158.68237,654,438.54087
96.894216,519,438.86087
-139.20864,423,440.575341
153.536211,406,440.896343
-75.675932,196,440.981638
-50.914854,251,441.104637
-83.208709,268,441.238638
177.887419,546,441.609636
-119.437145,485,443.459969
-89.246834,202,443.546969
88.765787,564,443.927621
-103.081234,286,444.074347
171.027053,470,444.37836
-76.348231,196,444.463347
128.015267,664,446.733519
-101.630006,334,446.905521
116.687176,680,447.290007
63.190142,957,449.559223
-82.598027,180,449.639225
-65.143671,540,449.995587
153.189096,378,450.238587
-115.074807,141,450.296587
208.595194,573,452.308807
-85.218656,164,452.378792
168.112211,518,452.753792
-97.764238,156,452.817792
-77.063571,251,452.943373
-84.99797,218,453.048766
104.966811,502,453.406764
-89.139335,323,455.09964
198.626611,473,455.38064
-80.752019,222,455.47564
184.974173,655,455.92564
186.788532,452,456.234652
-86.955681,308,457.86664
-116.343893,308,458.024904
75.420425,634,458.410892
-94.427076,257,458.53489
109.096891,668,460.701785
148.760192,390,460.9158
-93.279559,128,460.968999
161.465802,691,461.503006
-65.36978,289,461.653007
58.415218,730,463.854569
156.186237,411,464.082129
168.208747,515,464.466129
-71.238373,328,464.63113
190.661872,468,464.96046
106.474886,599,466.954161
-236.384139,451,467.224821
173.287475,617,467.603835
-66.487616,469,469.423064
-82.162856,277,469.578067
-91.539972,219,469.677067
-99.727885,166,469.745088
-131.564022,366,469.943842
199.4766,495,470.353564
131.745315,595,472.265759
173.581588,455,472.567759
199.234103,495,472.928333
168.841091,499,473.349994
-98.898672,364,473.562982
125.099617,558,475.572196
176.786682,617,476.021447
188.771092,497,476.380462
-78.332397,176,476.454449
-113.80787,586,478.413715
-83.027023,130,478.466704
220.688043,518,478.818703
201.186605,456,479.145368
-108.731439,352,479.350368
214.814994,526,481.224572
126.708403,591,481.520573
176.888955,350,481.714573
