#{"t_start": 1768402238.2651212, "env_id": "LunarLander-v3"}
r,l,t
-10.045332,154,563.900848
229.319202,400,564.217851
221.740921,448,564.640846
160.587872,659,567.424353
242.142093,479,567.844671
206.938608,444,568.246648
-39.294464,183,568.390647
-76.019217,1000,571.695132
227.67531,372,572.019325
242.453124,347,572.282344
160.306595,305,572.507346
252.026353,324,572.761483
238.688974,395,573.094483
181.559391,675,576.045002
-47.31653,252,576.248991
234.545753,367,576.564008
-1.121104,349,576.852086
193.053482,247,577.020083
174.812739,423,579.665351
206.184788,495,580.084491
229.666146,313,580.312491
251.404337,366,580.610519
202.895813,413,580.96571
146.137943,444,583.512992
-31.155023,329,583.782214
232.92568,401,584.098214
220.455344,447,584.491215
242.50373,325,584.768358
-11.919517,202,584.920359
201.71811,754,588.139875
238.444858,325,588.408874
239.50492,366,588.719506
234.657184,311,588.971112
179.467612,293,589.221136
-40.303488,323,591.732773
-26.001,316,591.990341
236.615827,324,592.241324
222.917182,389,592.597348
-39.099285,390,592.919559
-51.768712,352,593.191539
-33.820055,332,595.803027
215.107064,317,596.073027
233.910559,330,596.367048
-32.708426,227,596.534028
263.653652,323,596.803247
226.54457,320,597.047225
232.907478,342,597.322225
106.333675,1000,600.807461
48.999778,1000,601.907583
247.680294,318,604.483942
200.207759,350,604.768147
-55.569187,244,604.946148
217.439547,420,605.314151
260.915275,375,605.625128
227.2215,364,605.908368
65.901527,1000,609.243977
229.23398,342,609.540957
212.944811,366,609.873279
213.091933,397,610.286255
-14.863338,245,612.795226
240.726781,429,613.173227
231.698257,320,613.425226
-4.268228,348,613.676206
246.0771,391,614.024555
101.831741,1000,617.189973
203.717619,388,617.516973
57.051649,1000,618.402101
232.276158,295,620.907487
239.105543,316,621.160486
172.311186,849,622.027772
129.095993,1000,625.131199
-0.816195,275,625.372197
52.088031,1000,626.262964
113.240421,1000,629.680385
219.853986,330,629.964545
218.447865,317,630.269545
258.151375,342,630.560566
261.374951,331,630.81574
127.553393,1000,634.333322
215.326094,345,634.793589
235.52723,329,635.210589
238.899459,395,635.845812
254.861506,381,638.566726
236.692153,302,638.959527
214.091409,315,639.422526
249.636273,290,639.782402
240.735659,267,640.096402
266.718994,337,640.572402
81.021161,1000,644.327994
27.968841,259,644.637578
276.924837,396,645.180814
252.653634,343,645.625808
246.08089,319,646.048679
243.151524,289,648.583667
238.466924,338,649.030406
286.267089,370,649.517404
226.126493,500,650.300283
241.926819,368,650.815474
233.897062,326,653.321348
262.489599,312,653.752111
124.15849,1000,655.211692
234.990547,304,655.593722
238.964888,331,658.125353
221.766958,285,658.478364
255.726727,280,658.833212
240.867751,268,659.166773
184.26664,338,659.59545
246.152499,986,662.918314
244.121509,358,663.426337
-23.762843,292,663.771438
4.029272,267,664.089055
202.950421,295,664.436053
270.476874,282,664.789234
256.087378,356,665.24088
227.020156,383,667.783308
109.766804,1000,669.258794
265.354049,370,669.710976
-9.805069,273,670.042105
231.448154,384,672.655287
-29.869263,214,672.903243
104.348175,1000,674.436649
-8.819523,278,674.784597
256.124398,385,677.336035
272.164702,412,677.858164
272.938821,423,678.400165
201.151407,348,678.885358
297.911048,363,679.348358
246.72379,341,679.754588
232.736181,281,682.241198
-21.266614,178,682.446203
256.863908,371,682.955434
-34.253908,181,683.165431
-13.574394,176,683.362411
267.116643,309,683.798693
259.512061,347,684.249692
15.353658,317,686.676067
253.030116,291,687.032303
15.478685,191,687.249095
254.917327,379,687.769696
248.937624,364,688.264291
244.69321,286,688.645291
254.327467,265,688.971078
281.451513,347,691.515019
243.788516,300,691.884785
203.551584,273,692.20934
242.645827,303,692.606973
125.162372,1000,694.337598
119.276231,638,697.455601
250.260995,294,697.846837
26.193832,324,698.240415
210.431401,328,698.657965
226.065372,391,699.157845
93.217724,1000,702.993262
263.613951,316,703.378791
215.508972,302,703.752453
-19.544401,187,703.966023
-31.585567,178,704.161598
226.666742,367,706.726839
278.169817,408,707.242439
290.103401,624,708.095541
271.554484,468,708.778699
226.801275,286,709.134709
260.905342,464,711.892488
239.385912,292,712.242472
254.400051,271,712.576471
88.028991,1000,714.253951
274.143582,373,716.924643
254.061517,393,717.465642
192.985349,422,718.029826
24.779411,359,718.484846
216.405584,305,718.879163
262.240426,415,721.503559
266.983828,337,721.953726
114.37656,1000,723.453975
12.449062,221,723.705954
187.817716,351,726.24999
248.854922,341,726.731677
212.539056,279,727.063365
177.658678,327,727.472364
258.549919,356,727.910542
231.740857,224,728.161541
274.303218,390,728.619542
240.679528,392,731.249483
233.753206,454,731.935602
206.236561,276,732.264631
227.850644,331,732.692618
218.071877,266,733.01078
224.399456,242,733.308762
256.918725,373,735.883737
245.862915,323,736.280736
221.390154,347,736.715349
211.66598,369,737.190977
74.697371,1000,740.923131
26.654377,186,741.133132
145.89835,1000,742.566247
227.270654,292,742.929498
178.773406,516,745.766812
115.031488,1000,747.440109
267.284965,427,747.958337
231.410759,298,748.317336
245.143442,360,750.798207
233.68128,380,751.317193
240.838265,256,751.631212
7.636298,290,752.002445
233.411522,303,752.396447
93.077474,1000,756.20293
231.898192,295,756.564914
106.202335,1000,758.398931
254.616134,374,758.921935
157.184801,901,762.527879
238.079092,360,763.041062
-34.298035,196,763.273045
225.04144,274,763.608066
265.912399,413,766.217952
223.817112,517,766.996205
263.085805,377,767.449189
281.994248,441,767.996381
248.728472,355,768.450361
246.418228,344,771.041102
230.111624,505,771.831778
234.502695,271,772.173762
234.40929,331,772.608779
254.925871,342,773.035098
270.237728,374,773.511118
-150.874735,317,775.90701
42.531789,205,776.14203
211.799542,311,776.528011
207.222892,320,776.941243
244.323789,280,777.301242
221.186849,350,777.785433
228.798974,383,778.334433
263.615944,249,780.692649
-62.081076,376,781.157901
9.863503,328,781.610916
115.698305,1000,782.951408
-5.852824,354,785.474134
241.72326,345,785.922372
247.644848,384,786.400392
233.289417,290,786.771613
229.103087,351,787.198613
244.468264,354,787.674612
52.808495,1000,791.997163
255.838819,302,792.402146
248.75009,307,792.8054
262.377086,340,793.248377
246.34876,359,795.83637
246.496794,281,796.192389
236.060547,312,796.614384
210.96462,344,797.054045
239.049277,308,797.456034
-47.523155,317,797.861212
241.02906,460,800.757979
-28.579058,205,800.993958
243.701212,518,801.737577
171.318407,333,802.179206
-34.563223,216,802.434178
273.025263,477,803.148413
-105.34415,413,805.680157
216.491935,436,806.274457
243.780616,410,806.905753
